,,,,,,,,Thruster,,,,,,,,ISRU,,,,Support Provided,,,,
Name,Type,Specialty,"Spectral
Type","Promotion
Colony",Ideology,Mass,Rad-Hard,Thrust,"Fuel
Consumption","Fuel
Type",Afterburn,Push,Solar,"Air
Eater","Bonus
Pivots",ISRU,Missile,Raygun,Buggy,X Reactor,∿ Reactor,💣 Reactor,Ability,Future
Babbage Halbonauts,Robot,Engineer,H,D,n/a,2,5,,,,,0,0,0,,4,0,0,1,0,0,0,,
Utility Fog Halbonaut,,,,,,2,5,,,,,0,0,0,,2,0,0,1,0,0,0,All of your stacks are Glitch-free.,"UPLIFT FUTURE: Req = Robots not Emancipated, Human at a promoted Bernal & spend 20 Aqua. Effects = Every Robot becomes Emancipated, Casus belli for War, 12 VP."
Biomechs,Human,Miner,n/a,H,Yellow,2,4,,,,,0,0,0,,3,0,0,1,0,0,0,,
Group Mind Immortalists,,,,,,2,5,,,,,0,0,0,,2,0,0,1,0,0,0,May perform the faction privileges on both sides of your Crew card.,PAN SAPIENS FUTURE: Req = Have 3 Factories connected to Space Elevators. Effect = Casus belli for War. (Endgame) +2 VP for each glory chit owned.
Botany Bay Convicts,Human,Miner,n/a,H,Purple,2,4,,,,,0,0,0,,4,0,0,1,0,0,0,,
Soldier Caste,,,,,,2,9,,,,,0,0,0,,2,0,1,1,0,0,1,"All your Humans can commit Felonies, even if defending Humans are present.","SECESSION FUTURE: Req = 2 Promoted Human Colonists at an Anchored Bernal with Dirtside 5+. Effects = Casus belli for War, 10 VP."
Boyle Engineering Collective,Human,Prospector,n/a,Atmospheric,Yellow,3,5,,,,,0,0,0,,3,0,0,1,0,0,0,,
Martian Assembly,,,,,,3,6,,,,,0,0,0,,2,0,0,1,0,0,0,Acts as a Freighter when building a Space Elevator.,BEANSTALK FUTURE: Req = Have 3+ Space Elevators built by any player. Effect (Endgame) = +3 VP for each Factory connected to a Space Elevator.
Calypso 2 Seed Sail,Human,Prospector,n/a,Astrobiology,Green,1,3,0,0,Water,,1,1,0,1,4,1,1,0,0,0,0,Can't enter aerobrakes.,
Wet-Nano Seed Sail,,,,,,1,5,1,0,Water,,1,1,0,1,1,1,1,0,0,0,0,-2 to Colocated size rolls on Synodic Comets. Can't enter aerobrakes.,NEW VENUS FUTURE: Req = Decommission operational 7+ net thrust thruster on industrialized Synodic Comet (yours). 12 VP + (Endgame) remove all tokens on Venus & comet.
Heavy Water Survivalists,Human,Engineer,n/a,Submarine,Red,2,5,,,,,0,0,0,,4,0,1,0,0,0,0,,
New Attica Secessionists,,,,,,2,6,,,,,0,0,0,,2,0,1,0,0,0,0,Boost costs are doubled for all your opponents.,"SECESSION FUTURE: Req = 2 Promoted Human Colonists at a promoted Anchored Bernal. Effects = Casus belli for War, 7 VP."
