,,,,Thruster,,,,,,,Support Requirements,,,,,,
Name,"Spectral
Type",Mass,Rad-Hard,Thrust,"Fuel
Consumption","Fuel
Type","Bonus
Pivots",Afterburn,Push,Solar,⟛ Generator,e Generator,X Reactor,∿ Reactor,💣 Reactor,Therms,Ability
Ablative Plate,V,1,7,2,2,Water,0,1,1,0,0,0,1,0,1,,
Ablative Nozzle,,0,8,3,2,Water,0,1,1,0,0,0,1,1,1,,
De Laval Nozzle,M,0,6,5,4,Water,0,2,0,0,0,0,0,1,1,,
Magnetic Nozzle,,0,5,3,1,Water,0,3,0,0,0,0,0,1,0,,
Dumbo,S,0,7,6,5,Water,0,1,0,0,0,0,0,1,1,,
Timberwind,,0,7,5,3,Water,0,1,0,0,0,0,1,1,1,,
Hall Effect,C,2,5,3,2,Water,0,,1,0,0,1,0,0,0,,
Ion Drive,,1,5,2,1/2,Water,1,1,1,0,0,1,0,0,0,,
Mass Driver,M,3,8,4,3,Dirt,0,,1,0,1,0,0,0,0,,
MPD T-wave,,1,9,2,1/2,Dirt,0,,1,0,1,0,0,0,0,,
Metastable Helium,V,1,0,5,1,Water,0,1,0,0,0,0,1,0,0,1,
n-6Li Microfission,,1,8,5,1/2,Water,0,1,0,0,0,0,1,0,0,1,
Monoatomic Plug Nozzle,M,0,6,4,3,Water,0,1,0,0,0,0,0,1,0,,
Vortex Confined Nozzle,,0,7,4,2,Water,0,1,0,0,0,0,0,1,0,1,
Photon Heliogyro,C,0,1,0,0,Water,1,,1,1,0,0,0,0,0,,Aerobrake decommission. Immune to Flare & Belt Rolls.
Electric Sail,,0,2,2,0,Water,1,,1,1,0,0,0,0,0,,Aerobrake decommission. Immune to Flare & Belt Rolls.
Photon Kite Sail,C,0,0,0,0,Water,1,,1,1,0,0,0,0,0,,Aerobrake decommission. Immune to Flare & Belt Rolls.
Mag Sail,,0,4,1,0,Water,1,,1,1,0,0,0,0,0,,Aerobrake decommission. Each Radiation Belt entered = Bonus Burn
Ponderomotive VASIMR,V,1,4,3,1,Water,0,1,1,0,1,0,0,0,0,,
Pulsed Plasmoid,,1,5,3,1,Dirt,0,,1,1,0,0,0,0,0,,
Pulsed Inductive,C,1,5,4,2,Water,0,,1,0,1,0,0,0,0,,
Dual-Stage 4-Grid,,0,5,2,1/3,Water,1,,1,0,0,1,0,0,0,,
Re Solar Moth,D,0,5,3,4,Water,0,2,1,1,0,0,0,0,0,,
Colliding Beam H-B Fusion,,2,5,3,1/10,Water,1,2,0,0,0,1,0,0,0,1,
